abcaso, Abcasia
abcasa, Abcasia
afghano, Afghanistan
afghana, Afghanistan
afgano, Afghanistan
afgana, Afghanistan
alandese, Isole Åland
albanese, Albania
algerino, Algeria
algerina, Algeria
andorrano, Andorra
andorrana, Andorra
angolano, Angola
angolana, Angola
anguillano, Anguilla
anguillana, Anguilla
antiguo-barbudano, Antigua e Barbuda
antiguo-barbudana, Antigua e Barbuda
saudita, Arabia Saudita
arabo, Arabia Saudita
araba saudita, Arabia Saudita
argentino, Argentina
argentina, Argentina
armeno, Armenia
armena, Armenia
karabakho, Artsakh
karabakha, Artsakh
arubano, Aruba
arubana, Aruba
australiano, Australia
australiana, Australia
austriaco, Austria
austriaca, Austria
azero, Azerbaigian
azera, Azerbaigian
azerbaigiano, Azerbaigian
azerbaigiana, Azerbaigian
bahamense, Bahamas
bahreinita, Bahrein
bahrainita, Bahrein
bengalese, Bangladesh
bangladese, Bangladesh
barbadiano, Barbados
barbadiana, Barbados
barbadoregno, Barbados
barbadoregna, Barbados
belga, Belgio
beliziano, Belize
beliziana, Belize
beninese, Benin
beniniano, Benin
beniniana, Benin
bermudiano, Bermuda
bermudiana, Bermuda
bhutanese, Bhutan
bielorusso, Bielorussia
bielorussa, Bielorussia
belorusso, Bielorussia
belorussa, Bielorussia
birmano, Birmania
birmana, Birmania
boliviano, Bolivia
boliviana, Bolivia
bosniaco, Bosnia ed Erzegovina
bosniaca, Bosnia ed Erzegovina
bosniaco-erzegovino, Bosnia ed Erzegovina
bosniaco-erzegovina, Bosnia ed Erzegovina
bosniaco-erzegovese, Bosnia ed Erzegovina
botswano, Botswana
botswana, Botswana
brasiliano, Brasile
brasiliana, Brasile
bruneiano, Brunei
bruneiana, Brunei
bulgaro, Bulgaria
bulgara, Bulgaria
burkinabé, Burkina Faso
burundese, Burundi
cambogiano, Cambogia
cambogiana, Cambogia
camerunese, Camerun
canadese, Canada
capoverdiano, Capo Verde
capoverdiana, Capo Verde
caymaniano, Isole Cayman
caymaniana, Isole Cayman
ceco, Rep. Ceca
ceca, Rep. Ceca
centrafricano, Rep. Centrafricana
centrafricana, Rep. Centrafricana
ciadiano, Ciad
ciadiana, Ciad
cileno, Cile
cilena, Cile
cinese, Cina
cipriota, Cipro
colombiano, Colombia
colombiana, Colombia
comoriano, Comore
comoriana, Comore
congolese, Rep. del Congo
congolese, RD del Congo
zairese, RD del Congo
zairiano, RD del Congo
zairiana, RD del Congo
cookese, Isole Cook
nordcoreano, Corea del Nord
nordcoreana, Corea del Nord
nord-coreano, Corea del Nord
nord-coreana, Corea del Nord
sudcoreano, Corea del Sud
sudcoreana, Corea del Sud
sud-coreano, Corea del Sud
sud-coreana, Corea del Sud
ivoriano, Costa d'Avorio
ivoriana, Costa d'Avorio
avoriano, Costa d'Avorio
avoriana, Costa d'Avorio
costaricano, Costa Rica
costaricana, Costa Rica
costaricense, Costa Rica
croato, Croazia
croata, Croazia
cubano, Cuba
cubana, Cuba
danese, Danimarca
dominicense, Dominica
dominicano, Rep. Dominicana
dominicana, Rep. Dominicana
ecuadoriano, Ecuador
ecuadoriana, Ecuador
ecuadoregno, Ecuador
ecuadoregna, Ecuador
egiziano, Egitto
egiziana, Egitto
salvadoregno, El Salvador
salvadoregna, El Salvador
emiratense, Emirati Arabi Uniti
imaratense, Emirati Arabi Uniti
eritreo, Eritrea
eritrea, Eritrea
estone, Estonia
etiope, Etiopia
etiopico, Etiopia
etiopica, Etiopia
falklandese, Isole Falkland
faroense, Fær Øer
faroese, Fær Øer
feroese, Fær Øer
figiano, Figi
figiana, Figi
filippino, Filippine
filippina, Filippine
finlandese, Finlandia
francese, Francia
gabonese, Gabon
gallese, Galles
gambiano, Gambia
gambiana, Gambia
georgiano, Georgia
georgiana, Georgia
tedesco, Germania
tedesca, Germania
germanico, Germania
germanica, Germania
ghanese, Ghana
ghanaese, Ghana
ghanaense, Ghana
giamaicano, Giamaica
giamaicana, Giamaica
giapponese, Giappone
nipponico, Giappone
nipponica, Giappone
gibilterriano, Gibilterra
gibilterriana, Gibilterra
gibutiano, Gibuti
gibutiana, Gibuti
giordano, Giordania
giordana, Giordania
greco, Grecia
greca, Grecia
ellenico, Grecia
ellenica, Grecia
grenadino, Grenada
grenadina, Grenada
groenlandese, Groenlandia
guadalupense, Guadalupa
guamano, Guam
guamana, Guam
guatemalteco, Guatemala
guatemalteca, Guatemala
guineano, Guinea
guineana, Guinea
guineense, Guinea-Bissau
equatoguineano, Guinea Equatoriale
equatoguineana, Guinea Equatoriale
guyanese, Guyana
guianese, Guyana francese
haitiano, Haiti
haitiana, Haiti
honduregno, Honduras
honduregna, Honduras
onduregno, Honduras
onduregna, Honduras
hongkonghese, Hong Kong
indiano, India
indiana, India
indonesiano, Indonesia
indonesiana, Indonesia
inglese, Inghilterra
iraniano, Iran
iraniana, Iran
persiano, Iran
persiana, Iran
iracheno, Iraq
irachena, Iraq
irakeno, Iraq
irakena, Iraq
irlandese, Irlanda
nordirlandese, Irlanda del Nord
nord-irlandese, Irlanda del Nord
islandese, Islanda
israeliano, Israele
israeliana, Israele
italiano, Italia
italiana, Italia
jerseiano, Jersey
jerseiana, Jersey
kazako, Kazakistan
kazaka, Kazakistan
kazaco, Kazakistan
kazaca, Kazakistan
keniota, Kenya
kenyota, Kenya
keniano, Kenya
keniana, Kenya
kenyano, Kenya
kirghiso, Kirghizistan
kirghisa, Kirghizistan
kirghizo, Kirghizistan
kirghiza, Kirghizistan
chirghiso, Kirghizistan
chirghisa, Kirghizistan
gilbertese, Kiribati
kosovaro, Kosovo
kosovara, Kosovo
kossovaro, Kosovo
kossovara, Kosovo
kuwaitiano, Kuwait
kuwaitiana, Kuwait
laotiano, Laos
laotiana, Laos
laosiano, Laos
laosiana, Laos
lesothiano, Lesotho
lesothiana, Lesotho
sesotho, Lesotho
lettone, Lettonia
libanese, Libano
liberiano, Liberia
liberiana, Liberia
libico, Libia
libica, Libia
liechtensteinese, Liechtenstein
liechtensteiniano, Liechtenstein
liechtensteiniana, Liechtenstein
lituano, Lituania
lituana, Lituania
lussemburghese, Lussemburgo
macaense, Macao
macedone, Macedonia del Nord
malgascio, Madagascar
malgascia, Madagascar
malawiano, Malawi
malawiana, Malawi
malawi, Malawi
malawense, Malawi
maldiviano, Maldive
maldiviana, Maldive
malese, Malaysia
maliano, Mali
maliana, Mali
malieno, Mali
maliena, Mali
maltese, Malta
mannese, Isola di Man
mariannense, Isole Marianne Settentrionali
marocchino, Marocco
marocchina, Marocco
marshallese, Isole Marshall
martinicano, Martinica
martinicana, Martinica
mauritano, Mauritania
mauritana, Mauritania
mauro, Mauritania
maura, Mauritania
mauriziano, Mauritius
mauriziana, Mauritius
messicano, Messico
messicana, Messico
micronesiano, Micronesia
micronesiana, Micronesia
moldavo, Moldavia
moldava, Moldavia
moldovo, Moldavia
moldova, Moldavia
monegasco, Monaco
monegasca, Monaco
mongolo, Mongolia
mongola, Mongolia
mongolico, Mongolia
mongolica, Mongolia
montenegrino, Montenegro
montenegrina, Montenegro
montserratiano, Montserrat
montserratiana, Montserrat
mozambicano, Mozambico
mozambicana, Mozambico
namibiano, Namibia
namibiana, Namibia
nauruano, Nauru
nauruana, Nauru
nepalese, Nepal
nicaraguense, Nicaragua
nicaraguese, Nicaragua
nicaraguegno, Nicaragua
nicaraguegna, Nicaragua
nigerino, Niger
nigerina, Niger
nigeriano, Nigeria
nigeriana, Nigeria
niueano, Niue
niueana, Niue
norfolkese, Isola Norfolk
norvegese, Norvegia
neocaledoniano, Nuova Caledonia
neocaledoniana, Nuova Caledonia
neocaledone, Nuova Caledonia
neozelandese, Nuova Zelanda
omanita, Oman
sudosseto, Ossezia del Sud
sudosseta, Ossezia del Sud
neerlandese, Paesi Bassi
nederlandese, Paesi Bassi
pakistano, Pakistan
pakistana, Pakistan
pachistano, Pakistan
pachistana, Pakistan
palauano, Palau
palauana, Palau
palaulano, Palau
palaulana, Palau
palestinese, Palestina
panamense, Panama
panamegno, Panama
panamegna, Panama
papuano, Papua Nuova Guinea
papuana, Papua Nuova Guinea
paraguaiano, Paraguay
paraguaiana, Paraguay
paraguayano, Paraguay
peruviano, Perù
peruviana, Perù
polinesiano, Polinesia francese
polinesiana, Polinesia francese
polacco, Polonia
polacca, Polonia
portoghese, Portogallo
portoricano, Porto Rico
portoricana, Porto Rico
qatariota, Qatar
qatariano, Qatar
qatariana, Qatar
qatarino, Qatar
qatarina, Qatar
britannico, Regno Unito di Gran Bretagna e Irlanda del Nord
britannica, Regno Unito di Gran Bretagna e Irlanda del Nord
reunionista, Riunione
rumeno, Romania
rumena, Romania
romeno, Romania
romena, Romania
ruandese, Ruanda
russo, Russia
russa, Russia
sahrāwī, Sahara Occidentale
sahariano, Sahara Occidentale
sahariana, Sahara Occidentale
nevisiano, Saint Kitts e Nevis
nevisiana, Saint Kitts e Nevis
sanvincentino, Saint Vincent e Grenadine
sanvincentina, Saint Vincent e Grenadine
salomonese, Isole Salomone
samoano, Samoa
samoana, Samoa
samoano americano, Samoa Americane
samoana americana, Samoa Americane
sammarinese, San Marino
sanmarinese, San Marino
santaluciano, Saint Lucia
santaluciana, Saint Lucia
saotomense, São Tomé e Príncipe
scozzese, Scozia
senegalese, Senegal
serbo, Serbia
serba, Serbia
seychellese, Seychelles
seicellese, Seychelles
sierraleonese, Sierra Leone
singaporiano, Singapore
singaporiana, Singapore
siriano, Siria
siriana, Siria
slovacco, Slovacchia
slovacca, Slovacchia
sloveno, Slovenia
slovena, Slovenia
somalo, Somalia
somala, Somalia
spagnolo, Spagna
spagnola, Spagna
singalese, Sri Lanka
cingalese, Sri Lanka
srilankese, Sri Lanka
tamil, Sri Lanka
statunitense, Stati Uniti
americano, Stati Uniti
americana, Stati Uniti
sudafricano, Sudafrica
sudafricana, Sudafrica
sud-africano, Sudafrica
sud-africana, Sudafrica
sudanese, Sudan
sudsudanese, Sudan del Sud
surinamese, Suriname
svedese, Svezia
svizzero, Svizzera
svizzera, Svizzera
elvetico, Svizzera
elvetica, Svizzera
swazilandese, Swaziland
tagiko, Tagikistan
tagika, Tagikistan
tagico, Tagikistan
tagica, Tagikistan
tahitiano, Polinesia francese
tahitiana, Polinesia francese
taitiano, Polinesia francese
taiwanese, Taiwan
tanzaniano, Tanzania
tanzaniana, Tanzania
thailandese, Thailandia
tailandese, Thailandia
tibetano, Tibet
tibetana, Tibet
est-timorese, Timor Est
togolese, Togo
tokelauano, Tokelau
tokelauana, Tokelau
tongano, Tonga
tongana, Tonga
transnistriano, Transnistria
transnistriana, Transnistria
trinidadiano, Trinidad e Tobago
trinidadiana, Trinidad e Tobago
tobagodiano, Trinidad e Tobago
tobagodiana, Trinidad e Tobago
tunisino, Tunisia
tunisina, Tunisia
turco, Turchia
turca, Turchia
turkmeno, Turkmenistan
turkmena, Turkmenistan
turcmeno, Turkmenistan
turcmena, Turkmenistan
tuvaluano, Tuvalu
tuvaluana, Tuvalu
ucraino, Ucraina
ucraina, Ucraina
ugandese, Uganda
ungherese, Ungheria
magiaro, Ungheria
magiara, Ungheria
uruguaiano, Uruguay
uruguaiana, Uruguay
uruguayano, Uruguay
uruguayana, Uruguay
uzbeko, Uzbekistan
uzbeka, Uzbekistan
uzbeco, Uzbekistan
uzbeca, Uzbekistan
usbeco, Uzbekistan
usbeca, Uzbekistan
vanuatiano, Vanuatu
vanuatiana, Vanuatu
vanuatuano, Vanuatu
vanuatuana, Vanuatu
vaticano, Città del Vaticano
vaticana, Città del Vaticano
venezuelano, Venezuela
venezuelana, Venezuela
venezolano, Venezuela
venezolana, Venezuela
americo-verginiano, Isole Vergini americane
americo-verginiana, Isole Vergini americane
anglo-verginiano, Isole Vergini britanniche
anglo-verginiana, Isole Vergini britanniche
vietnamita, Vietnam
yemenita, Yemen
zambiano, Zambia
zambiana, Zambia
rhodesiano, Zambia
rhodesiana, Zambia
zimbabwese, Zimbabwe
rhodesiano, Zimbabwe
rhodesiana, Zimbabwe
valdostano, Valle d'Aosta
valdostana, Valle d'Aosta
piemontese, Piemonte
ligure, Liguria
lombardo, Lombardia
lombarda, Lombardia
trentino, Trentino
trentina, Trentino
altoatesino, Alto Adige
altoatesina, Alto Adige
alto-atesino, Alto Adige
alto-atesina, Alto Adige
sudtirolese, Alto Adige
veneto, Veneto
veneta, Veneto
friulano, Friuli
giuliano, Venezia Giulia
emiliano-romagnolo, Emilia Romagna
emiliano-romagnola, Emilia Romagna
emiliano, Emilia
emiliana, Emilia
romagnolo, Romagna
romagnola, Romagna
toscano, Toscana
toscana, Toscana
umbro, Umbria
umbra, Umbria
marchigiano, Marche
marchigiana, Marche
laziale, Lazio
abruzzese, Abruzzo
molisano, Molise
molisana, Molise
campano, Campania
campana, Campania
pugliese, Puglia
lucano, Basilicata
lucana, Basilicata
calabrese, Calabria
siciliano, Sicilia
siciliana, Sicilia
sardo, Sardegna
sarda, Sardegna
chietino, Chieti
chietina, Chieti
teatino, Chieti
teatina, Chieti
aquilano, L'Aquila
aquilana, L'Aquila
carsolano, Carsoli
carsolana, Carsoli
oricolano, Oricola
oricolana, Oricola
peretano, Pereto
peretana, Pereto
avezzanese, Avezzano
marsicano, Marsica
marsicana, Marsica
sulmonese, Sulmona
sulmontino, Sulmona
sulmontina, Sulmona
pescarese, Pescara
teramano, Teramo
teramana, Teramo
giuliese, Giulianova
materano, Matera
materana, Matera
potentino, Potenza
potentina, Potenza
rionerese, Rionero in Vulture
lametino, Lamezia Terme
lametina, Lamezia Terme
vibonese, Vibo Valentia
catanzarese, Catanzaro
cosentino, Cosenza
cosentina, Cosenza
silano, La Sila
silana, La Sila
reggino, Reggio Calabria
reggina, Reggio Calabria
crotonese, Crotone
pitagorico, Crotone
pitagorica, Crotone
avellinese, Avellino
irpino, Avellino
irpina, Avellino
calitrano, Calitri
calitrana, Calitri
aletrino, Calitri
aletrina, Calitri
grottese, Grottaminarda
beneventano, Benevento
beneventana, Benevento
sannita, Provincia di Benevento
amorosino, Amorosi
amorosina, Amorosi
apicese, Apice
apiciotto, Apice
apiciotta, Apice
marcopiano, Apice
marcopiana, Apice
arpaiolo, Arpaia
arpaiola, Arpaia
buonalberghese, Buonalbergo
viennerese, Castelvenere
frascetano, Frasso Telesino
frascetana, Frasso Telesino
ginestriano, Ginestra degli Schiavoni
ginestriana, Ginestra degli Schiavoni
ginestrese, Ginestra degli Schiavoni
guardiese, Guardia Sanframondi
guardiolo, Guardia Sanframondi
guardiola, Guardia Sanframondi
pescolese, Pesco Sannita
solopachese, Solopaca
telesino, Telese Terme
telesina, Telese Terme
tocchese, Tocco Caudio
casertano, Caserta
casertana, Caserta
baiardo, Baia e Latina
baiarda, Baia e Latina
latinese, Baia e Latina
capuano, Capua
capuana, Capua
capuatino, Capua
capuatina, Capua
fontegragano, Fontegreca
fontegragana, Fontegreca
liberino, Liberi
liberina, Liberi
sammaritano, Santa Maria Capua Vetere
sammaritana, Santa Maria Capua Vetere
veterese, Santa Maria Capua Vetere
trentolese, Trentola-Ducenta
ducentese, Trentola-Ducenta
valligiano, Valle Agricola
valligiana, Valle Agricola
liternese, Villa Literno
vicaiolo, Villa Literno
vicaiola, Villa Literno
vitulatino, Vitulazio
vitulatina, Vitulazio
napoletano, Napoli
napoletana, Napoli
napolitano, Napoli
napolitana, Napoli
partenopeo, Napoli
partenopea, Napoli
caprese, Capri
caprense, Capri
casoriano, Casoria
casoriana, Casoria
stabiano, Castellammare di Stabia
stabiana, Castellammare di Stabia
frattese, Frattamaggiore
ischitano, Ischia
ischitana, Ischia
pompeano, Pompei
pompeana, Pompei
pompeite, Pompei
puteolano, Pozzuoli
puteolana, Pozzuoli
pozzolano, Pozzuoli
pozzolana, Pozzuoli
sorrentino, Sorrento
sorrentina, Sorrento
salernitano, Salerno
salernitana, Salerno
cilentano, Salerno
cilentana, Salerno
agropolitano, Agropoli
agropolitana, Agropoli
agropolese, Agropoli
angrisano, Angri
angrisana, Angri
angrese, Angri
baroniense, Baronissi
ebolitano, Eboli
ebolitana, Eboli
bolognese, Bologna
felsineo, Bologna
felsinea, Bologna
petroniano, Bologna
petroniana, Bologna
alidosiano, Castel del Rio
alidosiana, Castel del Rio
ferrarese, Ferrara
estense, Ferrara
forlivese, Forlì
liviense, Forlì
forlimpopolese, Forlimpopoli
artusiano, Forlimpopoli
artusiana, Forlimpopoli
cesenate, Cesena
modenese, Modena
geminiano, Modena
geminiana, Modena
carpigiano, Carpi
carpigiana, Carpi
parmigiano, Parma
parmigiana, Parma
ducale, Parma
parmense, Provincia di Parma
piacentino, Piacenza
piacentina, Piacenza
ravennate, Ravenna
ravegnano, Ravenna
ravegnana, Ravenna
faentino, Faenza
faentina, Faenza
reggiano, Reggio Emilia
reggiana, Reggio Emilia
riminese, Rimini
cattolichino, Cattolica
cattolichina, Cattolica
catulghino, Cattolica
catulghina, Cattolica
goriziano, Gorizia
goriziana, Gorizia
pordenonese, Pordenone
triestino, Trieste
triestina, Trieste
monfalconese, Monfalcone
bisiaco, Monfalcone
bisiaca, Monfalcone
muggesano, Muggia
muggesana, Muggia
udinese, Udine
frusinate, Frosinone
ciociaro, Provincia di Frosinone
ciociara, Provincia di Frosinone
alatrino, Alatri
alatrina, Alatri
alatrese, Alatri
alatrense, Alatri
latinense, Latina
pontino, Latina
pontina, Latina
gaetano, Gaeta
gaetana, Gaeta
itriano, Itri
itriana, Itri
reatino, Rieti
reatina, Rieti
sabino, Provincia di Rieti
sabina, Provincia di Rieti
romano, Roma
romana, Roma
capitolino, Roma
capitolina, Roma
anziate, Anzio
portodanzese, Anzio
apriliano, Aprilia
apriliana, Aprilia
frascatano, Frascati
frascatana, Frascati
nemorense, Nemi
nettunese, Nettuno
nettunense, Nettuno
pometino, Pomezia
pometina, Pomezia
tiburtino, Tivoli
tiburtina, Tivoli
tivolese, Tivoli
travertino, Tivoli
travertina, Tivoli
veliterino, Velletri
veliterina, Velletri
velletrano, Velletri
velletrana, Velletri
viterbese, Viterbo
genovese, Genova
imperiese, Imperia
bordigotto, Bordighera
bordigotta, Bordighera
spezzino, La Spezia
spezzina, La Spezia
savonese, Savona
albenganese, Albenga
ingauno, Albenga
ingauna, Albenga
bergamasco, Bergamo
bergamasca, Bergamo
orobico, Bergamo
orobica, Bergamo
bresciano, Brescia
bresciana, Brescia
cidneo, Brescia
cidnea, Brescia
salodiese, Salò
salodiano, Salò
salodiana, Salò
comasco, Como
comasca, Como
comacino, Como
comacina, Como
lariano, Como
lariana, Como
comense, Provincia di Como
cremonese, Cremona
cremasco, Crema
cremasca, Crema
mantovano, Mantova
mantovana, Mantova
mantuano, Mantova
mantuana, Mantova
virgiliano, Mantova
virgiliana, Mantova
milanese, Milano
meneghino, Milano
meneghina, Milano
ambrosiano, Milano
ambrosiana, Milano
abbiatese, Abbiategrasso
rhodense, Rho
monzese, Monza
monzasco, Monza
monzasca, Monza
brianzolo, Monza-Brianza
brianzola, Monza-Brianza
pavese, Pavia
sondriese, Sondrio
retico, Sondrio
retica, Sondrio
sondriasco, Provincia di Sondrio
sondriasca, Provincia di Sondrio
chiavennasco, Chiavenna
chiavennasca, Chiavenna
varesino, Varese
varesina, Varese
bosino, Varese
bosina, Varese
ambrogino, Varese
ambrogina, Varese
varesotto, Provincia di Varese
varesotta, Provincia di Varese
bustocco, Busto Arsizio
bustocca, Busto Arsizio
bustese, Busto Arsizio
lecchese, Lecco
manzoniano, Lecco
manzoniana, Lecco
lodigiano, Lodi
lodigiana, Lodi
laudense, Lodi
anconetano, Ancona
anconetana, Ancona
anconitano, Ancona
anconitana, Ancona
dorico, Ancona
dorica, Ancona
loretano, Loreto
loretana, Loreto
lauretano, Loreto
lauretana, Loreto
ascolano, Ascoli Piceno
ascolana, Ascoli Piceno
piceno, Provincia di Ascoli Piceno
picena, Provincia di Ascoli Piceno
fermano, Fermo
fermana, Fermo
maceratese, Macerata
camerte, Camerino
camertino, Camerino
camertina, Camerino
pesarese, Pesaro
urbinate, Urbino
montefeltrino, Urbino
montefeltrina, Urbino
campobassano, Campobasso
campobassana, Campobasso
riccese, Riccia
termolesifrentano, Termoli
termolesifrentana, Termoli
isernino, Isernia
isernina, Isernia
pentro, Provincia di Isernia
pentra, Provincia di Isernia
forlivese, Forlì del Sannio
venafrano, Venafro
venafrana, Venafro
alessandrino, Alessandria
alessandrina, Alessandria
astigiano, Asti
astigiana, Asti
astese, Asti
nicese, Nizza Monferrato
cuneese, Cuneo
cuneensi, Cuneo
braidese, Bra
monregalese, Mondovì
mondovese, Mondovì
novarese, Novara
torinese, Torino
sabaudo, Torino
sabauda, Torino
ciriacese, Cirié
cuorgnetese, Cuorgnè
eporediese, Ivrea
eporediense, Ivrea
segusino, Susa
segusina, Susa
venariese, Venaria
viucese, Viù
vercellese, Vercelli
santagatino, Santhià
santagatina, Santhià
biellese, Biella
verbanese, Verbania
domese, Domodossola
domense, Domodossola
barese, Bari
baresano, Bari
baresana, Bari
brindisino, Brindisi
brindisina, Brindisi
andriese, Andria
andrisano, Andria
andrisana, Andria
andriano, Andria
andriana, Andria
barlettano, Barletta
barlettana, Barletta
tranese, Trani
foggiano, Foggia
foggiana, Foggia
dauno, Provincia di Foggia
dauna, Provincia di Foggia
viestano, Vieste
viestana, Vieste
leccese, Lecce
salentino, Penisola Salentina
salentina, Penisola Salentina
tarantino, Taranto
tarantina, Taranto
tarentino, Taranto
tarentina, Taranto
cagliaritano, Cagliari
cagliaritana, Cagliari
carboniense, Carbonia
iglesiente, Iglesias
sanlurese, Sanluri
villacidrese, Villacidro
nuorese, Nuoro
barbaricino, Nuoro
barbaricina, Nuoro
lanuseino, Lanusei
lanuseina, Lanusei
tortoliese, Tortolì
olbiese, Olbia
olbiense, Olbia
tempiese, Tempio Pausania
oristanese, Oristano
arborense, Oristano
sassarese, Sassari
turritano, Sassari
turritana, Sassari
agrigentino, Agrigento
agrigentina, Agrigento
girgentino, Agrigento
girgentina, Agrigento
saccense, Sciacca
sciacchitano, Sciacca
sciacchitana, Sciacca
nisseno, Caltanissetta
nissena, Caltanissetta
catanese, Catania
etneo, Catania
etnea, Catania
calatino, Caltagirone
calatina, Caltagirone
caltagiornese, Caltagirone
ennese, Enna
castrogiovannese, Enna
piazzese, Piazza Armerina
messinese, Messina
mamertino, Messina
mamertina, Messina
palermitano, Palermo
palermitana, Palermo
panormita, Palermo
termitano, Termini Imerese
termitana, Termini Imerese
ragusano, Ragusa
ragusana, Ragusa
ibleo, Ragusa
iblea, Ragusa
vittoriese, Vittoria
siracusano, Siracusa
siracusana, Siracusa
aretuseo, Siracusa
aretusea, Siracusa
ortigiano, Siracusa
ortigiana, Siracusa
trapanese, Trapani
pantesco, Pantelleria
pantesca, Pantelleria
pantese, Pantelleria
aretino, Arezzo
aretina, Arezzo
chianino, Arezzo
chianina, Arezzo
fiorentino, Firenze
fiorentina, Firenze
mediceo, Firenze
medicea, Firenze
gigliano, Firenze
gigliana, Firenze
grossetano, Grosseto
grossetana, Grosseto
maremmano, Maremma
maremmana, Maremma
livornese, Livorno
labronico, Livorno
labronica, Livorno
lucchese, Lucca
viareggino, Viareggio
viareggina, Viareggio
massese, Massa
apuano, Massa
apuana, Massa
carrarese, Carrara
carrarino, Carrara
carrarina, Carrara
pisano, Pisa
pisana, Pisa
pistoiese, Pistoia
senese, Siena
poggibonsese, Poggibonsi
bonizese, Poggibonsi
pratese, Prato
laniere, Prato
laniera, Prato
bolzanino, Bolzano
bolzanina, Bolzano
laivesotti, Laives
meranese, Merano
tridentino, Trento
tridentina, Trento
roveretano, Rovereto
roveretana, Rovereto
perugino, Perugia
perugina, Perugia
folignate, Foligno
assisiate, Assisi
tifernate, Città di Castello
tuderte, Todi
todino, Todi
todina, Todi
tudertino, Todi
tudertina, Todi
eugubino, Gubbio
eugubina, Gubbio
iguvino, Gubbio
iguvina, Gubbio
ternano, Terni
ternana, Terni
aostano, Aosta
aostana, Aosta
balteo, Aosta
baltea, Aosta
bellunese, Belluno
zumellese, Mel
padovano, Padova
padovana, Padova
euganeo, Padova
euganea, Padova
pavano, Padova
pavana, Padova
patavino, Padova
patavina, Padova
aponense, Abano
apontino, Abano
apontina, Abano
atestino, Este
atestina, Este
estense, Este
piovesano, Piove di Sacco
piovesana, Piove di Sacco
rodigino, Rovigo
rodigina, Rovigo
polesinese, Rovigo
rovigotti, Rovigo
rovigiano, Rovigo
rovigiana, Rovigo
adrese, Adria
trevigiano, Treviso
trevigiana, Treviso
trevisano, Treviso
trevisana, Treviso
trivigiano, Treviso
trivigiana, Treviso
tarvisino, Treviso
tarvisina, Treviso
loriate, Loria
opitergino, Oderzo
opitergina, Oderzo
veneziano, Venezia
veneziana, Venezia
serenissimi, Venezia
viniziano, Venezia
viniziana, Venezia
lagunare, Venezia
chioggiotti, Chioggia
clodiano, Chioggia
clodiana, Chioggia
clodiense, Chioggia
mestrino, Mestre
mestrina, Mestre
spinetensi, Spinea
veronese, Verona
scaligero, Verona
scaligera, Verona
clivense, Chievo
vicentino, Vicenza
vicentina, Vicenza
berico, Vicenza
berica, Vicenza
fodate, Foza
leonicene, Lonigo
leonicena, Lonigo
misquilese, Mussolente
scledense, Schio
valdagnese, Valdagno
mediterraneo, Mar Mediterraneo
mediterranea, Mar Mediterraneo
lionese, Lione
